candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,atlas_applicability,external_evidence_closes_decision,disposition
"Atlas fixed+sparse control","chunking/retrieval","docs/chunking-bakeoff.md; docs/profile-winner-matrix.md","Complete required-source recall and best aggregate tradeoff on the frozen 50-case corpus","Local CPU; no model inference on sparse query","Implemented and regression tested at da3dbd1","Fast; exact identifiers; ACL/version filters already proven","Small English corpus with strong lexical overlap","established","Default control for all comparisons","yes for current bundled corpus only","retain core"
"Atlas BGE-small dense+hybrid","representation/fusion","docs/embedding-bakeoff.md; docs/profile-winner-matrix.md","Dense helps some semantic/boundary cases; hybrid retains complete recall but loses to sparse aggregate on current corpus","384 dimensions; local CPU; measured p95 and index cost already recorded","Implemented through FastEmbed/Qdrant","Cheap semantic candidate pool; composes with sparse RRF","Not a Lithuanian or long-document result","established","Selectable client-corpus control","yes for current corpus; no for new languages/domains","retain selectable"
"BGE-M3 dense","representation","https://huggingface.co/BAAI/bge-m3; docs/embedding-bakeoff.md","Improved aggregate dense/hybrid ranking locally but weakened multi-document category","567M class model; about 2.3 GB cache and materially slower CPU in Atlas run","FlagEmbedding v1.4.0; head 7ed43d6; active in 2026","Multilingual; long context; dense/sparse/multivector capability","Large CPU latency/RAM; Lithuanian Atlas workload unmeasured","provisional","Candidate for multilingual/long text profile","no","retain experiment"
"MMTEB/MIRACL-selected multilingual encoder","representation","https://arxiv.org/abs/2502.13595; https://github.com/embeddings-benchmark/mteb","Broad multilingual and retrieval evidence; no dedicated Lithuanian company-document task found","Model-dependent; compare under one CPU/GPU envelope","MTEB 2.18.6 is maintained; leaderboard results repository is public","Current reproducible shortlist and language metadata","Leaderboard task/data overlap may not match Lithuanian documents","provisional","Shortlisting only","no","benchmark BGE-M3 plus one current MMTEB candidate on local EN/LT cases"
"Contextual retrieval","context construction","https://www.anthropic.com/engineering/contextual-retrieval; https://arxiv.org/abs/2504.19754","Vendor experiment reports fewer retrieval failures; independent comparison favors coherence but reports higher resource use","One context-generation pass per chunk plus larger lexical/dense index","No coherent maintained standalone library selected; can reuse Atlas generator+chunk contracts","Restores document context to isolated chunks; composes with BM25 and dense","Generation cost; vendor-authored main result; context can inject errors","provisional","Long documents and ambiguous chunks","no","controlled Atlas comparison"
"Jina late chunking","context construction","https://arxiv.org/abs/2409.04701; https://github.com/jina-ai/late-chunking","BEIR-derived evidence and later comparison show efficiency/quality tradeoff rather than dominance","Long-context encoder; full document forward pass; pooling per chunk","Head 1d3bb02; last push 2024-12-23; one open >8192-token issue; no releases","No per-chunk context generation; preserves token context","Model context ceiling; reference repo is quiet; long documents require segmentation","provisional","Long documents inside encoder context","no","controlled Atlas comparison"
"Semantic/adaptive chunking","context construction","https://arxiv.org/abs/2505.21700; https://arxiv.org/abs/2603.25333","Chunk-size and structure wins vary by dataset and answer granularity","Usually CPU text segmentation; LLM-assisted variants add token cost","Several research implementations; no single mature Atlas-compatible dependency chosen","Can route by document structure and question granularity","Intrinsic metrics do not guarantee retrieval/source recall","provisional","Possible router feature, not separate default","no","observe within contextual/late benchmark; do not add standalone profile yet"
"DOS RAG / source-order long context","context assembly","https://aclanthology.org/2025.emnlp-main.1656/","Matched or beat RAPTOR/ReadAgent on several long-context QA tasks under matched token budgets","Large generator context; minimal index complexity","Bounded Atlas implementation can reuse parsed document order; no new framework required","Strong simple control; preserves source fidelity and structure","Does not scale beyond context window; positional bias remains","established","Required long-document control","yes as control; no as universal winner","retain in benchmark design"
"Conversational query rewrite","query understanding","https://aclanthology.org/2026.semeval-1.225/; https://aclanthology.org/2026.semeval-1.345/","2026 shared-task systems report rewrite as a high-impact component; exact gains are domain-specific","Small or hosted LLM per conversational turn","No Atlas component yet; can reuse AnswerGenerator contract with bounded prompt","Fixes non-standalone/coreference queries without reindexing","Can change intent or add latency; irrelevant to single-turn facts","provisional","Conversation follow-ups only","no","later experiment after single-turn dossier experiments"
"Multi-query / HyDE / RRF","query understanding/fusion","https://aclanthology.org/2025.findings-naacl.367/; https://aclanthology.org/2026.semeval-1.345.pdf","MMLF reports BEIR gains; other 2026 comparisons show HyDE/multi-query can lose to explicit rewriting","Several retrievals plus LLM generation and fusion","Atlas already owns RRF; no external framework needed for a bounded candidate","Improves phrasing coverage and composes with current pools","More calls/noise; can reduce precision; generator-dependent","contested","Paraphrase or multi-aspect questions only","no","defer until matching failure set"
